repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
abdulwahid880__School-Management-system-in-laravel-,full_selected_context,8,0.625,0.39583333333333337,0.0982142857142857,0.0,0.08168382908208491,0.8020833333333334,52.390125,14.558590769564605,52018.0,4.125
abdulwahid880__School-Management-system-in-laravel-,oracle_upper_bound,8,0.875,0.6666666666666666,0.28571428571428575,0.11715561224489798,0.1337042858689313,0.48214285714285715,53.169125,32.86058129483669,52018.0,5.625
abdulwahid880__School-Management-system-in-laravel-,random_code_same_budget,8,0.875,0.375,0.2142857142857143,0.025024270124716554,0.13965380737232805,0.5989583333333333,43.55937500000001,21.60570917974592,32032.0,5.75
abdulwahid880__School-Management-system-in-laravel-,readme_only,8,0.875,0.4791666666666667,0.16071428571428573,0.0,0.06679478312063582,0.65625,21.312624999999997,19.647755080142872,10040.0,5.375
abdulwahid880__School-Management-system-in-laravel-,readme_plus_code,8,1.0,0.6041666666666666,0.16964285714285712,0.012152777777777776,0.13918757146743785,0.65625,51.303000000000004,23.78920246090046,46110.0,6.0
adityagoyal222__django-lms,file_tree_only,8,1.0,0.375,0.25,0.18060515873015873,0.12163098628370873,0.4702380952380953,19.885749999999998,26.984187016477854,630.0,6.75
adityagoyal222__django-lms,full_selected_context,8,0.875,0.49999999999999994,0.3942307692307692,0.23490079365079364,0.139323287378069,0.296875,36.503125000000004,37.61719210676384,30071.0,6.5
adityagoyal222__django-lms,oracle_upper_bound,8,1.0,0.49999999999999994,0.4807692307692308,0.28040674603174603,0.16639043978537016,0.1875,39.6705,43.05591459433855,31043.0,7.75
adityagoyal222__django-lms,random_code_same_budget,8,1.0,0.5833333333333333,0.4326923076923077,0.16816893424036283,0.16859628246897382,0.203125,32.84725,40.6719703577393,19547.0,7.0
adityagoyal222__django-lms,readme_only,8,1.0,0.7083333333333334,0.4807692307692308,0.0683609693877551,0.13739362165944974,0.140625,22.841374999999996,43.01546345623659,833.0,7.375
adityagoyal222__django-lms,readme_plus_code,8,0.875,0.49999999999999994,0.38461538461538464,0.20490362811791382,0.13092627963487546,0.4,35.137625,35.52350521841987,29421.0,6.75
engripaye__library-management-system,file_tree_only,8,1.0,0.625,0.328125,0.13020833333333331,0.11418388998848787,0.44568452380952384,14.347999999999999,33.84445477839875,289.0,4.875
engripaye__library-management-system,full_selected_context,8,1.0,0.5625,0.640625,0.17330853174603175,0.162440047321606,0.2125,31.763749999999998,47.44964634474472,14567.0,6.75
engripaye__library-management-system,oracle_upper_bound,8,0.875,0.5,0.453125,0.23079861111111113,0.12025704419987733,0.546875,36.507999999999996,36.81045288522038,17576.0,6.25
engripaye__library-management-system,random_code_same_budget,8,1.0,0.625,0.578125,0.18632936507936507,0.22031750221333307,0.259672619047619,30.803500000000003,47.1689986443111,15432.0,6.125
engripaye__library-management-system,readme_only,8,0.875,0.5,0.453125,0.06423611111111112,0.11812657069782333,0.340625,20.051375,35.50974578268958,3396.0,5.125
engripaye__library-management-system,readme_plus_code,8,1.0,0.5,0.625,0.24486111111111108,0.19247765061690253,0.22529761904761902,31.024375000000003,47.40641079099957,13901.0,6.5
jobic10__student-management-using-django,file_tree_only,8,1.0,0.5,0.15384615384615385,0.11688988095238094,0.07120915088576937,0.59375,17.55775,22.85305026694954,336.0,6.125
jobic10__student-management-using-django,full_selected_context,8,1.0,0.625,0.3942307692307692,0.09634778911564625,0.1444674980854292,0.2986111111111111,39.91075,37.40593406556017,29327.0,7.625
jobic10__student-management-using-django,oracle_upper_bound,8,0.875,0.5416666666666666,0.451923076923077,0.09781037414965986,0.1386128490870689,0.265625,53.230624999999996,38.02979124494026,38735.0,7.0
jobic10__student-management-using-django,random_code_same_budget,8,1.0,0.41666666666666663,0.2884615384615385,0.15363839285714287,0.15172076666845116,0.3125,37.352875,30.65306653665681,28303.0,6.25
