model,comparison,pairs,composite_score_delta_mean,composite_score_delta_sd,composite_score_delta_ci_low,composite_score_delta_ci_high,use_case_recall_delta_mean,use_case_recall_delta_sd,use_case_recall_delta_ci_low,use_case_recall_delta_ci_high,path_fidelity_delta_mean,path_fidelity_delta_sd,path_fidelity_delta_ci_low,path_fidelity_delta_ci_high,unsupported_feature_rate_delta_mean,unsupported_feature_rate_delta_sd,unsupported_feature_rate_delta_ci_low,unsupported_feature_rate_delta_ci_high,elapsed_sec_delta_mean,elapsed_sec_delta_sd,elapsed_sec_delta_ci_low,elapsed_sec_delta_ci_high
qwen2.5-coder:7b,full_minus_readme_plus_code,16,-2.54391257655622,8.399527388247723,-6.94859126997547,1.0735600565067034,-0.0006124084249084175,0.10600233429183055,-0.04877017513736263,0.05323803800366295,0.00446373814677387,0.074449352803047,-0.030757606356936702,0.039147981730571026,0.030208333333333327,0.1408985277592231,-0.04100074404761904,0.09442708333333331,2.9939374999999995,3.1241767015487456,1.4303124999999999,4.5535375
qwen2.5-coder:7b,readme_plus_code_minus_file_tree,16,11.487653803336652,11.442793566148202,6.145544011126464,17.095966261847405,0.14175453835380303,0.15840033399110254,0.07177117842329238,0.2190465837777418,0.09710154263725691,0.1397476645575962,0.030500922275475847,0.16366453920583376,-0.2174107142857143,0.2890339145178237,-0.35941964285714284,-0.0859375,10.625312500000001,5.706102449351921,7.7396734375000005,13.238187499999995
qwen2.5-coder:7b,readme_plus_code_minus_random_code,16,5.985179218775417,9.8819000727504,1.4764374808761895,10.50094282812156,0.08961182812285753,0.16083496202182837,0.019546037602103772,0.16784318316487432,-0.012690199185734902,0.10396810434492482,-0.0628567712359565,0.03419403578192639,-0.15558035714285715,0.3296719889877349,-0.312734375,-0.005558035714285837,0.5375625000000002,7.144933384049146,-3.041610937499999,3.6569468749999983
qwen2.5-coder:7b,routes_minus_file_tree,16,0.45385424649797246,11.599344708576119,-5.102210853713857,5.859456428662292,0.011392131153160574,0.2046873364360578,-0.07701163879013141,0.11628823535533084,0.10620407948532949,0.12456862790066503,0.04425809621512747,0.16645406633297255,-0.07336309523809526,0.2993432200312624,-0.22436011904761904,0.0609393601190476,4.352062500000001,5.251319294155199,1.8395203125000001,6.7510046875
qwen2.5-coder:7b,models_minus_file_tree,16,4.992601291486309,16.85473446393401,-3.2066008679432625,12.57136605127918,0.04975943174472587,0.18069113436082698,-0.034220359909698135,0.13238644321364906,0.06685877697038412,0.12915111738061755,0.006434015699082664,0.12862332777176527,-0.09114583333333334,0.24597630023597353,-0.2115104166666667,0.023450520833333263,5.1449375,4.340718165906805,2.9752484375,7.0731546875000015
qwen2.5-coder:7b,oracle_upper_bound_minus_readme_plus_code,16,0.6280652481838334,13.24493486526715,-5.899915336853545,6.38278790127029,0.030613136863136874,0.11915159407789377,-0.01976003163503162,0.09267087079587066,0.07395672284065141,0.13256627938375376,0.009396356743454968,0.13937219693748687,-0.053125000000000006,0.26422095409909113,-0.1859765625,0.059402901785714134,3.837875,3.2934183634434704,2.3077765624999986,5.3997296875
pooled,readme_plus_code_minus_readme_only,16,4.420775094602344,7.868085288659368,0.8333908860906571,8.020259930322867,0.08031114106481753,0.0945154179273799,0.040290679755293726,0.12928357411583516,0.14162577625747266,0.10732732286670968,0.09082302886432353,0.19437839827376655,-0.055629960317460314,0.10414785355433305,-0.1066499255952381,-0.00830667162698412,6.350125,2.94057523945382,4.8324125,7.6793182291666655
pooled,bm25_minus_readme_plus_code,16,-3.8008218614790854,7.864595441215837,-7.204723491620406,0.2473436203851819,-0.022254440820617276,0.08680596663113696,-0.06120760494611596,0.01898766011357924,-0.030600117888064302,0.0471605848383492,-0.05173907106245276,-0.006303819578652167,0.047004268879268875,0.16835281771862265,-0.03469398223304474,0.11896021224146218,2.7456249999999995,2.57059114364338,1.603548958333332,4.050634375
pooled,bm25_minus_random_code,16,1.1092001900118684,7.15647339620888,-2.272605619893677,4.6295469408386785,0.019553261281202473,0.07985668279564481,-0.017452271992713164,0.05712444367315691,-0.012569932960557957,0.06161762364327171,-0.042172638776154396,0.01564032813251562,-0.017273178210678183,0.23262515617933902,-0.12328666125541121,0.09262438371813375,3.296666666666666,2.3105320759673678,2.163172916666666,4.312900520833333
pooled,full_minus_readme_plus_code,16,-0.983600947557489,5.300331401503015,-3.4204358170308997,1.445520755620913,-0.009978134610487546,0.054136856124080944,-0.03494846299533799,0.014489577263014758,-0.008014871826255756,0.06882288379595262,-0.040671529884839026,0.022961396691725946,0.010912698412698405,0.146999642384257,-0.057839988425925914,0.08283254794973544,1.362041666666666,1.31288787073044,0.7291677083333324,2.034759374999998
pooled,readme_plus_code_minus_file_tree,16,10.804001316481179,8.01870701930857,6.984474580065785,14.520752142399342,0.11012609735036204,0.12424609116193595,0.052483485672823904,0.17095498965903377,0.10202014654767631,0.11677919587183881,0.04639295717234705,0.16026610407683697,-0.16113591269841274,0.196973961934856,-0.2562264384920635,-0.06664124503968258,6.2768958333333345,3.2476629995731234,4.695925000000002,7.797277083333333
pooled,readme_plus_code_minus_random_code,16,4.910022051490953,6.91782537137409,1.4232974753258822,7.861907352527485,0.041807702101819756,0.0917213356502659,-0.0013083566760037299,0.08563579164911886,0.018030184927506365,0.0623584959047917,-0.010812394646937052,0.045813979103320586,-0.06427744708994707,0.1951239818692451,-0.16161706349206345,0.027313161375661234,0.551041666666667,3.525414003268899,-1.2962765624999997,2.0419619791666666
pooled,routes_minus_file_tree,16,2.4381075339944065,10.521300714027287,-2.4403999065179436,7.7176184198782805,0.008628310006986478,0.17244859552607833,-0.07072886748668002,0.09304903786980956,0.08110617584575917,0.09992174342043571,0.03125509591199696,0.12868057998136107,-0.05074404761904763,0.2724629442630184,-0.18230530753968255,0.0792441716269841,2.656208333333333,2.9328980582983735,1.262859895833333,3.9754427083333344
pooled,models_minus_file_tree,16,3.180804388736158,10.276111762599694,-1.76629380624216,8.038741483423914,0.019506147447323915,0.11184431383303643,-0.030859271702562148,0.0726107027164012,0.04542824431961336,0.1069632322527838,-0.003904840058392886,0.1005712072181566,-0.0285135582010582,0.18184698443611674,-0.11105716765873015,0.05982432208994711,3.2021458333333337,2.2731642881715612,2.1023328125000003,4.239318750000001
pooled,oracle_upper_bound_minus_readme_plus_code,16,1.581354301347946,10.354480721057824,-3.3292060110573756,6.568164547802581,0.021603263974587505,0.09866168437243066,-0.023499988573517996,0.06857415791928656,0.024548688056872582,0.09189917260215814,-0.016485150810113605,0.07100269855943217,-0.08049768518518519,0.23513208547409592,-0.1928220072751323,0.03043423445767195,1.8732708333333319,1.7269542155193345,1.0618333333333325,2.738754166666666
